No.,Use Case ID,Use Case Name,Actor,Description,Preconditions,Main Flow,Alternate Flow,Postconditions,Related Req.,Priority,Status
70,UC-70,Edit Certificate Template,Admin,Admin updates certificate template design and configuration,Admin is authenticated and template exists,"1. Click Edit button on template → 2. Modify template form (name, HTML body, issuer info, images) → 3. Preview changes if needed → 4. Validate form data → 5. Submit updates → 6. System saves changes → 7. Show success message",Invalid HTML format → show error | Template in use → show warning | Invalid image URLs → show format error,Certificate template updated successfully,FR-95,High,Approved
71,UC-71,Preview Certificate Template,Admin,Admin previews how certificate template will look when issued,Admin is authenticated and template exists,1. Click Preview button on template → 2. System renders HTML template with sample data → 3. Show preview dialog with template design → 4. Close preview when done,Template rendering error → show error message | Missing placeholders → show warning,Certificate template preview displayed with sample data,FR-96,Medium,Approved
72,UC-72,Delete Certificate Template,Admin,Admin removes certificate template from system,Admin is authenticated and template exists,1. Click Delete button on template → 2. Confirm deletion dialog → 3. System removes template → 4. Show success message → 5. Update template list,Template in use → prevent deletion | Database error → show retry option,Certificate template deleted from system,FR-97,Medium,Approved
73,UC-73,View Certificate List,Admin,Admin views and manages list of all issued certificates with pagination and filtering,Admin is authenticated,"1. Navigate to Certificate Management → 2. System displays paginated table → 3. View certificate details (student, course, status, issue date, verification code) → 4. Use pagination controls → 5. Filter by status (Draft, Issued, Revoked, Expired) → 6. Search certificates by student or course → 7. View total count and current page",Loading error → show retry option | Empty list → show empty state message,Admin can view and monitor all certificates,FR-98,High,Approved
74,UC-74,View Certificate Details,Admin,Admin views detailed information of specific certificate including verification details,Admin is authenticated and certificate exists,"1. Click View button on certificate → 2. System displays certificate details dialog → 3. Show certificate information (student, course, template, dates, status, verification code) → 4. Close details when done",Certificate not found → show not found message,Complete certificate information displayed,FR-99,Medium,Approved
75,UC-75,Revoke Certificate,Admin,Admin revokes an issued certificate making it invalid,Admin is authenticated and certificate is issued,1. Click Revoke button on certificate → 2. Enter revocation reason → 3. Confirm revocation → 4. System updates certificate status to revoked → 5. Show success message,Certificate already revoked → show error | Invalid reason → show validation error,Certificate status updated to revoked with reason recorded,FR-100,High,Approved
76,UC-76,Delete Certificate,Admin,Admin removes certificate from system,Admin is authenticated and certificate exists,1. Click Delete button on certificate → 2. Confirm deletion dialog → 3. System removes certificate → 4. Show success message → 5. Update certificate list,Certificate already issued → prevent deletion | System error → show retry option,Certificate deleted from system,FR-102,Medium,Approved
77,UC-77,Create New Voucher,Admin,Admin creates a new voucher code with specific terms and conditions,Admin is authenticated and has voucher management permissions,"1. Navigate to Voucher Management → 2. Click Create New button → 3. Fill voucher form (code, name, description, type, discount value, min order amount, usage limits, date range) → 4. Validate form data → 5. Submit creation → 6. System saves voucher → 7. Show success message → 8. Redirect to voucher list",Empty required fields → show validation errors | Invalid voucher code format → show error | Invalid date range → show error | Duplicate code → show conflict warning,New voucher created and available for use,"FR-102, FR-103",High,Approved
78,UC-78,View Voucher List,Admin,Admin views and manages list of all vouchers with pagination and filtering,Admin is authenticated,"1. Navigate to Voucher Management → 2. System displays paginated table → 3. View voucher details (code, name, type, discount value, usage count, expiry, status) → 4. Use pagination controls → 5. Filter by date range and status → 6. Search vouchers by code or name → 7. View total count and current page",Loading error → show retry option | Empty list → show empty state message,Admin can view and monitor all vouchers,FR-104,High,Approved
79,UC-79,Edit Voucher,Admin,Admin updates voucher configuration and terms,Admin is authenticated and voucher exists,"1. Click Edit button on voucher → 2. Modify voucher form (name, description, discount value, limits, dates) → 3. Validate form data → 4. Submit updates → 5. System saves changes → 6. Show success message",Invalid form data → show validation errors | Voucher in use → show warning | Invalid date changes → show error,Voucher updated successfully,FR-105,High,Approved
80,UC-80,View Voucher Details,Admin,Admin views comprehensive voucher information and usage statistics,Admin is authenticated and voucher exists,"1. Click View Details button on voucher → 2. System displays voucher details page → 3. Show all voucher information (terms, usage stats, restrictions) → 4. Navigate back to list when done",Voucher not found → show not found message,Complete voucher information displayed,FR-106,Medium,Approved
81,UC-81,Delete Voucher,Admin,Admin removes voucher from system with soft delete functionality,Admin is authenticated and voucher exists,1. Click Delete button on voucher → 2. Confirm deletion dialog → 3. System marks voucher as deleted → 4. Show success message → 5. Update voucher list → 6. Voucher becomes unavailable for use,Voucher in active use → prevent deletion | System error → show retry option,Voucher marked as deleted and unavailable,FR-109,Medium,Approved
82,UC-82,Restore Voucher,Admin,Admin restores previously deleted voucher back to active state,Admin is authenticated and deleted voucher exists,1. Click Restore button on deleted voucher → 2. Confirm restoration dialog → 3. System marks voucher as active → 4. Show success message → 5. Update voucher list → 6. Voucher becomes available again,Restore fails → show error message | Voucher conflicts → show warning,Voucher restored and available for use,FR-110,Medium,Approved
83,UC-83,View Voucher Usage History,Admin,Admin tracks and monitors voucher usage across the system,Admin is authenticated,"1. Navigate to Voucher Usage tab → 2. System displays usage history table → 3. View usage details (user, voucher, order, usage date) → 4. Filter by date range → 5. Use pagination controls → 6. Click View Details for specific usage",No usage data → show empty state | Loading error → show retry option,Voucher usage history displayed with filtering,FR-107,High,Approved
84,UC-84,View Voucher Usage Details,Admin,Admin views detailed information about specific voucher usage transaction,Admin is authenticated and usage exists,"1. Click View Details on usage row → 2. System displays usage details dialog → 3. Show complete transaction info (user, order, discount amount, timestamps) → 4. Close details when done",Usage not found → show not found message,Detailed voucher usage information displayed,FR-108,Medium,Approved
85,UC-85,Create New Blog Post,Admin,"Admin creates a new blog post with content, tags, and metadata",Admin is authenticated and has blog management permissions,"1. Navigate to Blog Management → 2. Click Create New button → 3. Fill blog form (title, content, thumbnail URL, select tags) → 4. Validate form data → 5. Submit creation → 6. System saves blog → 7. Show success message → 8. Redirect to blog list",Empty required fields → show validation errors | Invalid title length → show error | Invalid thumbnail URL → show format error | Content too short → show validation error,New blog post created and published,"FR-111, FR-112",High,Approved
86,UC-86,View Blog List,Admin,Admin views and manages list of all blog posts with advanced filtering and search capabilities,Admin is authenticated,"1. Navigate to Blog Management → 2. System displays paginated table → 3. View blog details (title, author, view count, reading time, creation date, tags) → 4. Use pagination controls → 5. Search by title/content → 6. Filter by tags → 7. Use advanced filters (date range, view count, reading time) → 8. View total count and current page",Loading error → show retry option | Empty list → show empty state message,Admin can view and monitor all blog posts with comprehensive filtering,FR-113,High,Approved
87,UC-87,Edit Blog Post,Admin,"Admin updates blog post content, metadata, and tag associations",Admin is authenticated and blog exists,"1. Click Edit button on blog → 2. Modify blog form (title, content, thumbnail URL, tags) → 3. Validate form data → 4. Submit updates → 5. System saves changes → 6. Show success message",Invalid form data → show validation errors | Title too long → show error | Content validation fails → show error,Blog post updated successfully,FR-114,High,Approved
88,UC-88,View Blog Details,Admin,Admin views comprehensive blog post information and metadata,Admin is authenticated and blog exists,"1. Click View Details button on blog → 2. System displays blog details dialog → 3. Show all blog information (content, tags, stats, metadata) → 4. Close details when done",Blog not found → show not found message,Complete blog post information displayed,FR-115,Medium,Approved
89,UC-89,Delete Blog Post,Admin,Admin removes blog post from system with soft delete functionality,Admin is authenticated and blog exists,1. Click Delete button on blog → 2. Confirm deletion dialog → 3. System marks blog as deleted → 4. Show success message → 5. Update blog list → 6. Blog becomes unavailable publicly,Blog has active comments → show warning | System error → show retry option,Blog post marked as deleted and unavailable,FR-116,Medium,Approved
90,UC-90,Restore Blog Post,Admin,Admin restores previously deleted blog post back to published state,Admin is authenticated and deleted blog exists,1. Click Restore button on deleted blog → 2. Confirm restoration dialog → 3. System marks blog as active → 4. Show success message → 5. Update blog list → 6. Blog becomes available publicly again,Restore fails → show error message | Metadata conflicts → show warning,Blog post restored and available for public viewing,FR-117,Medium,Approved
91,UC-91,Manage Blog Tags,Admin,Admin associates and manages tags for blog posts during creation and editing,Admin is authenticated and tags are available,1. During blog creation/editing → 2. Select tags from dropdown → 3. Multiple tag selection allowed → 4. Validate tag associations → 5. Save blog with tag relationships → 6. Tags displayed in blog list and details,Invalid tag selection → show error | Tag not found → show warning,Blog tags properly associated and displayed,FR-118,Medium,Approved
92,UC-92,View Student List,Admin,Admin views and manages list of all registered students with pagination and filtering capabilities,Admin is authenticated,"1. Navigate to Student Management → 2. System displays paginated table → 3. View student details (name, phone, location, age, enrollment count) → 4. Use pagination controls → 5. Search by name or other criteria → 6. Filter by location (state, city, phone number) → 7. View total count and current page",Loading error → show retry option | Empty list → show empty state message,Admin can view and monitor all registered students,FR-120,High,Approved
93,UC-93,View Student Details,Admin,Admin views comprehensive student information including personal details and statistics,Admin is authenticated and student exists,"1. Click View Details button on student → 2. System displays student details dialog → 3. Show comprehensive information (personal info, address, statistics, account metadata) → 4. View enrollment and submission counts → 5. Close details when done",Student not found → show not found message,Complete student information displayed with statistics,FR-121,High,Approved
94,UC-94,Search and Filter Students,Admin,Admin searches and filters students using multiple criteria for efficient management,Admin is authenticated,"1. Enter search term in search field → 2. Set specific filters (phone number, state, city) → 3. Trigger search action → 4. View filtered results → 5. Reset filters if needed → 6. Navigate through paginated results",Invalid search criteria → show validation error | No results found → show empty state,Students filtered according to search and filter criteria,FR-122,Medium,Approved
95,UC-95,View Enrollment List,Admin,Admin views and manages list of all student enrollments with pagination and filtering capabilities,Admin is authenticated,"1. Navigate to Enrollment Management → 2. System displays paginated table → 3. View enrollment details (student, course, status, progress, enrollment date, last activity) → 4. Use pagination controls → 5. View total count and current page",Loading error → show retry option | Empty list → show empty state message,Admin can view and monitor all student enrollments,FR-123,High,Approved
96,UC-96,View Enrollment Details,Admin,Admin views comprehensive enrollment information including progress tracking and student/course details,Admin is authenticated and enrollment exists,"1. Click View Details button on enrollment → 2. System displays enrollment details dialog → 3. Show comprehensive information (status, progress percentage, lesson counts, student info, course info, timeline) → 4. View progress visualization → 5. Close details when done",Enrollment not found → show not found message,Complete enrollment information displayed with progress tracking,FR-124,High,Approved
97,UC-97,Filter and Search Enrollments,Admin,Admin filters and searches enrollments by status and student/course information for efficient management,Admin is authenticated,"1. Enter search term in search field → 2. Select status filter (All, In Progress, Completed) → 3. Trigger search action → 4. View filtered results → 5. Reset filters if needed → 6. Navigate through paginated results",No results found → show empty state message | Invalid filter criteria → show validation error,Enrollments filtered according to search and status criteria,FR-125,Medium,Approved
98,UC-98,View Order List,Admin,Admin views and manages list of all orders with pagination and filtering capabilities,Admin is authenticated,"1. Navigate to Order Management → 2. System displays paginated table → 3. View order details (ID, user, subtotal, discount, total, status, created date) → 4. Use pagination controls → 5. Filter by status if needed → 6. View total count and current page",Loading error → show retry option | Empty list → show empty state message,Admin can view and monitor all orders with comprehensive information,FR-127,High,Approved
99,UC-99,View Order Details,Admin,"Admin views comprehensive order information including payment transactions, user details, and order items",Admin is authenticated and order exists,"1. Click View Details button on order → 2. System displays order details page → 3. Show comprehensive information (order summary, user info, order items, payment transactions, price summary) → 4. View payment transaction history → 5. Navigate back to order list",Order not found → show not found message,Complete order information displayed with payment details and transaction history,FR-128,High,Approved
100,UC-100,Filter Orders by Status,Admin,Admin filters orders by status for efficient management and monitoring,Admin is authenticated,"1. Select status filter from dropdown (All, Pending, Paid, Failed, Cancelled, Refunded) → 2. System updates table results → 3. View filtered orders → 4. Reset filter if needed → 5. Navigate through paginated filtered results",No results found → show empty state message,Orders filtered according to selected status criteria,FR-129,Medium,Approved
101,UC-101,Update Order Status,Admin,Admin updates order status to reflect current payment or fulfillment state,Admin is authenticated and order exists,1. Select new status from dropdown in order row → 2. System displays confirmation dialog → 3. Review current and new status → 4. Confirm status change → 5. System updates order status → 6. Show success message,Invalid status transition → show error message | Update failed → show error and retry option,Order status updated with proper audit trail and confirmation,FR-130,High,Approved
102,UC-102,View Submission List,Admin,Admin views and manages list of all student submissions with pagination and filtering capabilities,Admin is authenticated,"1. Navigate to Submission Management → 2. System displays paginated table → 3. View submission details (student, challenge, lesson, rating, submitted date) → 4. Use pagination controls → 5. View total count and current page",Loading error → show retry option | Empty list → show empty state message,Admin can view and monitor all student submissions with comprehensive information,FR-131,High,Approved
103,UC-103,View Submission Details,Admin,"Admin views comprehensive submission information including student code, ratings, and challenge context",Admin is authenticated and submission exists,"1. Click View Details button on submission → 2. System displays submission details page → 3. Show comprehensive information (challenge info, student info, code JSON, rating, timestamps) → 4. View formatted code blocks → 5. Navigate back to submission list",Submission not found → show not found message,Complete submission information displayed with code analysis and context,FR-132,High,Approved
104,UC-104,Filter and Search Submissions,Admin,Admin filters and searches submissions by text search and star rating range for efficient management,Admin is authenticated,1. Enter search term in search field → 2. Use star rating slider to set range (0-3 stars) → 3. Trigger search action → 4. View filtered results → 5. Reset filters if needed → 6. Navigate through paginated filtered results,No results found → show empty state message | Invalid filter criteria → show validation error,Submissions filtered according to search term and rating criteria,FR-133,Medium,Approved
105,UC-105,Start Lesson,User,Student start lesson in enrolled course.,User completed previous lesson,1. View list enrolled course  → 2. Click continue  → 3. Start Lesson,Previous lesson is not completed  → Show error,,,,
106,UC-106,,Guest,,,,,,,,
,,,Guest,,,,,,,,
,,,Guest,,,,,,,,
,,,Guest,,,,,,,,
,,,Guest,,,,,,,,
,,,Guest,,,,,,,,
,,,Guest,,,,,,,,
,,,Guest,,,,,,,,
,,,Guest,,,,,,,,
,,,Guest,,,,,,,,
,,,Guest,,,,,,,,
,,,Guest,,,,,,,,
,,,Guest,,,,,,,,
,,,Guest,,,,,,,,
